"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"46",4,"Cooper Kupp",LAR,"WR19","11","5 out of 5 stars","-7.0"
"47",4,"Mike Davis",ATL,"RB23","6","2 out of 5 stars","-15.0"
"48",4,"Kareem Hunt",CLE,"RB24","13","4 out of 5 stars","-1.0"
"49",4,"Diontae Johnson",PIT,"WR20","7","2 out of 5 stars","-7.0"
"50",4,"Adam Thielen",MIN,"WR21","7","3 out of 5 stars","+5.0"
"51",4,"Kyler Murray",ARI,"QB3","12","2 out of 5 stars","+10.0"
"52",4,"Kenny Golladay",NYG,"WR22","10","3 out of 5 stars","-6.0"
"53",4,"Lamar Jackson",BAL,"QB4","8","2 out of 5 stars","+7.0"
"54",4,"Mark Andrews",BAL,"TE4","8","4 out of 5 stars","+2.0"
"55",4,"T.J. Hockenson",DET,"TE5","9","4 out of 5 stars","0.0"
"56",4,"Tyler Lockett",SEA,"WR23","9","1 out of 5 stars","+2.0"
"57",4,"Travis Etienne",JAC,"RB25","7","4 out of 5 stars","-11.0"
"58",5,"Dak Prescott",DAL,"QB5","7","2 out of 5 stars","+7.0"
"59",5,"Kyle Pitts",ATL,"TE6","6","2 out of 5 stars","+9.0"
"60",5,"Chase Edmonds",ARI,"RB26","12","3 out of 5 stars","-1.0"
"61",5,"Tee Higgins",CIN,"WR24","10","2 out of 5 stars","-13.0"
"62",5,"Brandon Aiyuk",SF,"WR25","6","5 out of 5 stars","-8.0"
"63",5,"Ja'Marr Chase",CIN,"WR26","10","2 out of 5 stars","-9.0"
"64",5,"Odell Beckham Jr.",CLE,"WR27","13","1 out of 5 stars","-1.0"
"65",5,"Raheem Mostert",SF,"RB27","6","3 out of 5 stars","+2.0"
"66",5,"Melvin Gordon III",DEN,"RB28","11","5 out of 5 stars","-3.0"
"67",5,"Javonte Williams",DEN,"RB29","11","5 out of 5 stars","+1.0"
"68",5,"Damien Harris",NE,"RB30","14","3 out of 5 stars","-10.0"
"69",5,"James Robinson",JAC,"RB31","7","4 out of 5 stars","+21.0"
"70",5,"Russell Wilson",SEA,"QB6","9","0 out of 5 stars","+11.0"
"71",5,"Courtland Sutton",DEN,"WR28","11","4 out of 5 stars","-13.0"
"72",5,"Ronald Jones II",TB,"RB32","9","0 out of 5 stars","+5.0"
"73",5,"Justin Herbert",LAC,"QB7","7","2 out of 5 stars","+13.0"
"74",5,"Chase Claypool",PIT,"WR29","7","2 out of 5 stars","+1.0"
"75",5,"Dallas Goedert",PHI,"TE7","14","3 out of 5 stars","-7.0"
"76",5,"Aaron Rodgers",GB,"QB8","13","2 out of 5 stars","+12.0"
"77",5,"D.J. Chark Jr.",JAC,"WR30","7","5 out of 5 stars","-6.0"
"78",5,"David Johnson",HOU,"RB33","10","4 out of 5 stars","-2.0"
"79",5,"JuJu Smith-Schuster",PIT,"WR31","7","2 out of 5 stars","-2.0"
"80",5,"Leonard Fournette",TB,"RB34","9","0 out of 5 stars","+4.0"
"81",5,"Noah Fant",DEN,"TE8","11","4 out of 5 stars","+4.0"
"82",5,"Robby Anderson",CAR,"WR32","13","5 out of 5 stars","-5.0"
